單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
calculation,計算；估算；計算過程,4,中階,金融與會計,noun,"noun: calculation, calculations","make a calculation 進行計算
accurate calculation 精確的計算","The finance department needs to verify the accuracy of the sales calculation before finalizing the budget.
財務部門需要在確認預算之前，驗證銷售額計算的準確性。"
calculator,計算機；計算器，用於執行數學運算。,4,基礎,辦公日常,noun,"noun: calculator, calculators",,"The accountant used a calculator to verify the accuracy of the financial report.
會計師使用計算機來驗證財務報告的準確性。"
calculus,微積分；結石（醫學）,1,精熟,科技與技術支援,noun,noun: calculus,,"She is taking an advanced calculus course this semester.
她這學期正在修一門高等微積分課程。"
caleb,迦勒（聖經人物名），通常指一位忠誠的追隨者或可靠的員工。,1,精熟,人力資源,noun,"noun: caleb, Calebs",,"Caleb's dedication to the project ensured its successful completion.
迦勒對專案的投入確保了專案的成功完成。"
calendar,日曆；行事曆，用於記錄日期和安排行程的工具。,5,入門,辦公日常,noun,"noun: calendar, calendars","mark your calendar 在行事曆上記下重要日子
academic calendar 學年行事曆","Please mark the deadline on your calendar so you don't miss it.
請在你的日曆上標記截止日期，以免錯過。"
calf,小牛；小腿,2,進階,一般專業,noun,"noun: calf, calves",,"The farmer was worried about the health of the newborn calf.
農夫很擔心剛出生小牛的健康。"
california,加利福尼亞州，美國西海岸的一個州，常指位於美國西部的加州，在商業語境中可能指該州的商業活動、市場或地理位置。,1,入門,旅遊與交通,noun,"noun: california, Californias",,"Our company is expanding its operations into California to tap into the large market.
我們公司正在擴展業務至加州，以進入龐大的市場。"
call,呼叫；打電話；召集；稱呼；命名；要求；訪問；電話；呼喚；短暫拜訪,5,入門,溝通互動,"noun, verb","verb: calls, calling, called
noun: calls",,"Please call me if you have any questions about the project.
如果您對這個專案有任何問題，請打電話給我。"
caller,來電者；致電者,4,基礎,溝通互動,noun,"noun: caller, callers","put a caller on hold 讓來電者在線上稍候
identify the caller 確認來電者身份","The receptionist asked the caller for their name and purpose of the call.
接待員詢問來電者姓名和致電目的。"
calligraphy,書法；書寫藝術，尤其指優美的字體。,2,進階,營運管理,noun,"noun: calligraphy, calligraphies","calligraphy workshop 書法工作坊
traditional calligraphy 傳統書法","The company commissioned a calligraphy artist to create a unique logo for the new product launch.
公司委託一位書法家為新產品發布設計一個獨特的標誌。"
callow,缺乏經驗或未成熟的；稚嫩的,1,精熟,人力資源,adjective,"adjective: callow, more callow, most callow",,"The company is looking for experienced professionals, not callow graduates.
公司正在尋找經驗豐富的專業人士，而不是缺乏經驗的應屆畢業生。"
calls,電話聯絡；撥打電話,5,基礎,溝通互動,verb,"verb: calls, calling, called","return calls 回電
conference calls 電話會議","Please call our customer support line for assistance with your order.
如有訂單相關問題，請致電我們的客戶支援專線。"
calm,鎮定的；平靜的；使平靜的,4,基礎,溝通互動,"adjective, verb","adjective: calm, calmer, calmest
verb: calm, calms, calming, calmed",,"Despite the unexpected delay, the project manager remained calm and reassured the team.
儘管出現了意外延遲，專案經理仍然保持鎮定，並向團隊保證。"
caloric,熱量的；卡路里的,2,進階,一般專業,adjective,"adjective: caloric, more caloric, most caloric","caloric intake 熱量攝取
caloric density 熱量密度","Fruits are a good source of vitamins, but some can be quite caloric.
水果是維生素的良好來源，但有些水果的熱量可能很高。"
calorie,卡路里；熱量單位,3,基礎,一般專業,noun,noun: calories,"burn calories 燃燒熱量
calorie intake 熱量攝取","A typical adult needs about 2,000 calories per day.
一個典型的成年人每天需要大約2,000卡路里。"
calories,卡路里，食物所含的熱量單位，常用於衡量飲食的能量含量。,3,基礎,住宿與餐飲,noun,noun: calories,"burn calories 燃燒熱量
consume calories 攝取熱量","The hotel offers a low-calorie menu option for health-conscious guests.
飯店為注重健康的住客提供低卡路里的餐點選項。"
cam,攝影機；錄影機,1,進階,科技與技術支援,noun,"noun: cam, cams","security cam 監視攝影機
webcam 網路攝影機","The security team installed new surveillance cams to monitor the warehouse entrance.
安全團隊在倉庫入口安裝了新的監控攝像頭。"
camelectronics,電子產品；電子元件,1,精熟,科技與技術支援,noun,noun: camelectronics,"Camelectronics annual sale 週年慶
Camelectronics store policy 店內政策","Our company specializes in sourcing and distributing camelectronics for various industries.
我們公司專門為各個產業採購和分銷電子產品。"
camera,攝影機，照相機；用於捕捉圖像或影片的設備。,5,入門,科技與技術支援,noun,"noun: camera, cameras","pointing a camera 對準相機
adjusting a lens 調整鏡頭","The company invested in high-resolution cameras for quality control purposes.
公司為了品質管制目的，投資了高解析度的攝影機。"
cameras,攝影機；照相機（多台）,5,入門,科技與技術支援,noun,noun: cameras,"surveillance cameras 監視錄影機
security cameras 保全相機","The security team installed new cameras throughout the office building to enhance surveillance.
安全團隊在辦公大樓各處安裝了新的攝影機，以增強監控。"
camp,營地；訓練營（通常指短期住宿和活動的場所）,4,入門,旅遊與交通,"noun, verb","noun: camp, camps
verb: camp, camps, camping, camped","camping gear 露營裝備
summer camp 夏令營","The company is sending its sales team to a training camp to improve their negotiation skills.
公司將銷售團隊派往訓練營，以提升他們的談判技巧。"
campaign,營銷活動；宣傳活動,4,中階,行銷與銷售,"noun, verb","noun: campaign, campaigns
verb: campaign, campaigns, campaigning, campaigned","marketing campaign 行銷活動
promotional campaign 促銷活動","Our marketing team is launching a new advertising campaign to promote the product.
我們的行銷團隊正在推出一個廣告宣傳活動來推廣產品。"
campaigns,一系列有組織的活動或計畫，通常旨在推廣產品、服務或理念。,4,中階,行銷與銷售,noun,noun: campaigns,,"The company launched a new marketing campaign to increase brand awareness.
該公司啟動了一項新的行銷活動，以提高品牌知名度。"
camping,露營；野營,1,入門,旅遊與交通,"noun, verb","noun: camping, campings
verb: camping, camps, camped",,"The company is offering a team-building event involving camping in the mountains.
公司正在提供一項團隊建設活動，包括在山中露營。"
campus,校園；大學校區（通常指包含教學、行政和學生宿舍等設施的區域）,4,基礎,營運管理,noun,"noun: campus, campuses",,"The company is hosting a career fair on campus to attract recent graduates.
公司正在校園舉辦就業博覽會，以吸引應屆畢業生。"
canada,加拿大，一個位於北美洲的國家，以其豐富的自然資源和多元文化而聞名，在國際貿易和商業活動中經常被提及。,1,入門,旅遊與交通,noun,"noun: canada, Canadas",,"Our company is exploring potential partnerships with businesses in Canada.
我們公司正在探索與加拿大企業建立合作夥伴關係。"
canadian,加拿大人或加拿大的，指來自加拿大或與加拿大相關的事物。,1,入門,溝通互動,"adjective, noun","adjective: canadian, more canadian, most canadian
noun: canadian, Canadians","a Canadian company 形容詞用法
based in Canada 國名用法","The company is expanding its operations to serve the growing Canadian market.
該公司正在擴展業務以服務日益增長的加拿大市場。"
canal,人工運河，通常用於船舶運輸或灌溉。,2,中階,採購與物流,noun,"noun: canal, canals","shipping canal 航行運河
Panama Canal 巴拿馬運河","The company is exploring alternative shipping routes, including utilizing the Panama Canal to reduce transportation costs.
公司正在探索替代運輸路線，包括利用巴拿馬運河以降低運輸成本。"
cancel,取消；廢除（預訂、會議、合約等）,5,基礎,辦公日常,verb,"verb: cancel, cancels, canceling, canceled",,"Due to unforeseen circumstances, we had to cancel the scheduled meeting.
由於突發狀況，我們不得不取消原定的會議。"
canceled,被取消；廢除（計畫、會議等）,5,基礎,辦公日常,"verb, adjective","verb: canceled, cancels, canceling
adjective: canceled, more canceled, most canceled",,"The meeting has been canceled due to unforeseen circumstances.
由於突發狀況，會議已被取消。"
canceling,取消（預訂、會議等），廢除,5,基礎,辦公日常,verb,"verb: canceling, cancels, canceled","cancel a reservation 取消預約
cancel a subscription 取消訂閱","Due to unforeseen circumstances, we are canceling the scheduled meeting.
由於突發狀況，我們將取消原定的會議。"
cancellation,取消（預訂、合約等），取消通知,5,基礎,旅遊與交通,noun,"noun: cancellation, cancellations",,"Due to unforeseen circumstances, we regret to inform you of the flight cancellation.
由於突發狀況，我們遺憾地通知您航班已取消。"
cancer,癌症，惡性腫瘤；(商務情境下)指公司或組織面臨的重大挑戰或危機。,2,進階,營運管理,noun,"noun: cancer, cancers","cancer screening 癌症篩檢
cancer treatment 癌症治療","The company is facing a cancer in its sales department due to the recent market changes.
由於最近的市場變化，公司銷售部門正面臨嚴重的危機。"
candidate,候選人；被提名或考慮擔任某職位或參與某項計畫的人,5,基礎,人力資源,noun,"noun: candidate, candidates","qualified candidate 合格的候選人
successful candidate 錄取者","The hiring manager will interview three candidates for the sales supervisor position next week.
招聘經理將於下週面試三位銷售主管職位的候選人。"
candidates,候選人；應徵者,5,基礎,人力資源,noun,noun: candidates,"successful candidate 錄取者
qualified candidates 合格的人選","The HR department is currently reviewing the applications of several candidates for the marketing manager position.
人事部門目前正在審查多位應徵行銷經理職位的文件。"
